00149,00392,00177,00967,00392,00386,00969,00181,00386
00150,00386,00181,00969,00386,00381,00970,00185,00381
00151,00381,00185,00970,00381,00375,00972,00189,00375
00152,00375,00189,00972,00375,00369,00973,00194,00369
00153,00369,00194,00973,00369,00364,00974,00198,00364
00154,00364,00198,00974,00364,00358,00975,00202,00358
00155,00358,00202,00975,00358,00353,00976,00207,00353
00156,00353,00207,00976,00353,00348,00977,00211,00348
00157,00348,00211,00977,00348,00342,00978,00216,00342
00158,00342,00216,00978,00342,00337,00979,00220,00337
00159,00337,00220,00979,00337,00331,00980,00225,00331
00160,00331,00225,00980,00331,00326,00981,00229,00326
00161,00326,00229,00981,00326,00321,00981,00234,00321
00162,00321,00234,00981,00321,00315,00982,00239,00315
00163,00315,00239,00982,00315,00310,00982,00243,00310
00164,00310,00243,00982,00310,00305,00983,00248,00305
00165,00305,00248,00983,00305,00300,00983,00253,00300
00166,00300,00253,00983,00300,00295,00984,00258,00295
00167,00295,00258,00984,00295,00290,00984,00263,00290
00168,00290,00263,00984,00290,00284,00984,00268,00284
00169,00284,00268,00984,00284,00279,00984,00273,00279
00170,00279,00273,00984,00279,00274,00984,00278,00274
00171,00274,00278,00984,00274,00269,00984,00283,00269
00172,00269,00283,00984,00269,00264,00984,00288,00264
00173,00264,00288,00984,00264,00259,00984,00293,00259
00174,00259,00293,00984,00259,00255,00983,00298,00255
00175,00255,00298,00983,00255,00250,00983,00303,00250
00176,00250,00303,00983,00250,00245,00983,00308,00245
00177,00245,00308,00983,00245,00240,00982,00314,00240
00178,00240,00314,00982,00240,00236,00982,00319,00236
00179,00236,00319,00982,00236,00231,00981,00324,00231
00180,00231,00324,00981,00231,00226,00980,00330,00226
00181,00226,00330,00980,00226,00222,00979,00335,00222
00182,00222,00335,00979,00222,00217,00979,00340,00217
00183,00217,00340,00979,00217,00213,00978,00346,00213
00184,00213,00346,00978,00213,00208,00977,00351,00208
00185,00208,00351,00977,00208,00204,00976,00357,00204
00186,00204,00357,00976,00204,00199,00975,00362,00199
00187,00199,00362,00975,00199,00195,00973,00368,00195
00188,00195,00368,00973,00195,00191,00972,00373,00191
00189,00191,00373,00972,00191,00187,00971,00379,00187
00190,00187,00379,00971,00187,00182,00969,00384,00182
00191,00182,00384,00969,00182,00178,00968,00390,00178
00192,00178,00390,00968,00178,00174,00966,00395,00174
00193,00174,00395,00966,00174,00170,00965,00401,00170
00194,00170,00401,00965,00170,00166,00963,00407,00166
00195,00166,00407,00963,00166,00162,00961,00412,00162
00196,00162,00412,00961,00162,00158,00960,00418,00158
00197,00158,00418,00960,00158,00155,00958,00424,00155
00198,00155,00424,00958,00155,00151,00956,00429,00151
00199,00151,00429,00956,00151,00147,00954,00435,00147
00200,00147,00435,00954,00147,00143,00952,00441,00143
00201,00143,00441,00952,00143,00140,00950,00447,00140
00202,00140,00447,00950,00140,00136,00947,00452,00136
00203,00136,00452,00947,00136,00133,00945,00458,00133
00204,00133,00458,00945,00133,00129,00943,00464,00129
00205,00129,00464,00943,00129,00126,00940,00470,00126
00206,00126,00470,00940,00126,00123,00938,00475,00123
